,Resort,Week,Year,Rating
223,Mt. Baw Baw,week8,2023,4.0
224,Mt. Baw Baw,week8,2024,3.8
225,Mt. Baw Baw,week8,2025,4.666666666666667
226,Mt. Baw Baw,week9,2017,5.0
227,Mt. Baw Baw,week9,2018,4.0
228,Mt. Baw Baw,week9,2019,4.75
229,Mt. Baw Baw,week9,2021,4.0
230,Mt. Baw Baw,week9,2022,3.5
231,Mt. Baw Baw,week9,2023,2.125
232,Mt. Baw Baw,week9,2024,4.666666666666667
233,Mt. Baw Baw,week9,2025,5.0
234,Mt. Buller,week1,2024,5.0
235,Mt. Buller,week1,2025,5.0
236,Mt. Buller,week10,2024,4.833333333333333
237,Mt. Buller,week10,2025,4.777777777777778
238,Mt. Buller,week11,2023,4.0
239,Mt. Buller,week11,2024,3.375
240,Mt. Buller,week11,2025,4.769230769230769
241,Mt. Buller,week12,2023,5.0
242,Mt. Buller,week12,2024,3.5
243,Mt. Buller,week12,2025,4.75
244,Mt. Buller,week13,2023,5.0
245,Mt. Buller,week13,2024,4.0
246,Mt. Buller,week15,2023,5.0
247,Mt. Buller,week2,2025,5.0
248,Mt. Buller,week3,2024,5.0
249,Mt. Buller,week3,2025,4.833333333333333
250,Mt. Buller,week4,2023,5.0
251,Mt. Buller,week4,2024,4.111111111111111
252,Mt. Buller,week4,2025,4.25
253,Mt. Buller,week5,2023,4.0
254,Mt. Buller,week5,2024,3.857142857142857
255,Mt. Buller,week5,2025,4.818181818181818
256,Mt. Buller,week6,2024,4.583333333333333
257,Mt. Buller,week6,2025,3.5
258,Mt. Buller,week7,2023,3.3333333333333335
259,Mt. Buller,week7,2024,4.3
260,Mt. Buller,week7,2025,5.0
261,Mt. Buller,week8,2023,3.0
262,Mt. Buller,week8,2024,4.2
263,Mt. Buller,week8,2025,5.0
264,Mt. Buller,week9,2023,3.0
265,Mt. Buller,week9,2024,4.818181818181818
266,Mt. Buller,week9,2025,4.888888888888889
267,Mt. Hotham,week1,2017,4.5
268,Mt. Hotham,week1,2018,4.666666666666667
269,Mt. Hotham,week1,2019,4.333333333333333
270,Mt. Hotham,week1,2021,5.0
271,Mt. Hotham,week1,2022,4.8
272,Mt. Hotham,week1,2023,3.0
273,Mt. Hotham,week1,2024,5.0
274,Mt. Hotham,week1,2025,4.8
275,Mt. Hotham,week10,2018,4.833333333333333
276,Mt. Hotham,week10,2019,3.4
277,Mt. Hotham,week10,2020,4.0
278,Mt. Hotham,week10,2021,5.0
279,Mt. Hotham,week10,2022,4.333333333333333
280,Mt. Hotham,week10,2023,5.0
281,Mt. Hotham,week10,2024,4.0
282,Mt. Hotham,week10,2025,3.6666666666666665
283,Mt. Hotham,week11,2018,4.333333333333333
284,Mt. Hotham,week11,2019,3.0
