Week,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),Mean temperature (Degree C)
Week33 (2011-01-09),17.481632653061226,7.689795918367347,8.600000000000001,12.585714285714285
Week34 (2011-01-16),17.57659574468085,11.610638297872342,605.8,14.593617021276597
Week35 (2011-01-23),17.772727272727273,8.459999999999999,30.0,13.116363636363637
Week36 (2011-01-30),19.304444444444446,9.254545454545454,70.8,14.27949494949495
Week37 (2011-02-06),19.3,13.40408163265306,1328.0,16.35204081632653
Week38 (2011-02-13),15.844897959183672,6.86734693877551,578.8,11.35612244897959
Week39 (2011-02-20),15.19795918367347,8.6,637.4,11.898979591836735
Week40 (2011-02-27),15.158333333333333,6.027083333333334,61.6,10.592708333333334
Week41 (2011-03-06),12.212765957446809,3.3130434782608695,69.8,7.762904717853839
Week42 (2011-03-13),14.872340425531915,8.830434782608695,202.4,11.851387604070304
Week43 (2011-03-20),14.971428571428572,7.5088888888888885,115.2,11.24015873015873
Week44 (2011-03-27),11.26530612244898,5.573469387755103,470.8,8.419387755102042
Week45 (2011-04-03),11.514285714285716,2.9979591836734696,42.6,7.256122448979593
Week46 (2011-04-10),11.13877551020408,2.8040816326530615,192.0,6.9714285714285715
Week47 (2011-04-17),5.953061224489796,-0.028571428571428553,360.0,2.9622448979591836
Week48 (2011-04-24),8.573469387755102,2.4877551020408166,136.0,5.530612244897959
Week49 (2011-05-01),11.13265306122449,2.6755102040816325,1.4,6.904081632653061
Week50 (2011-05-08),7.351020408163265,0.9204081632653062,65.4,4.135714285714285
Week51 (2011-05-15),1.3306122448979592,-4.557142857142857,234.0,-1.613265306122449
Week52 (2011-05-22),7.620408163265306,1.1020408163265305,2.6,4.361224489795918
Week53 (2011-05-29),3.5816326530612246,-1.6102040816326533,495.6,0.9857142857142857
Week54 (2011-06-05),5.042857142857143,-0.17551020408163268,118.4,2.433673469387755
Week55 (2011-06-12),-0.5816326530612245,-4.559183673469388,172.6,-2.570408163265306
Week56 (2011-06-19),2.269387755102041,-1.7428571428571429,105.4,0.263265306122449
Week57 (2011-06-26),1.4285714285714286,-2.2367346938775508,321.8,-0.4040816326530611
Week58 (2011-07-03),5.2,-1.7040816326530612,0.4,1.7479591836734696
Week59 (2011-07-10),-1.0122448979591836,-4.06734693877551,496.0,-2.539795918367347
Week60 (2011-07-17),0.15208333333333338,-4.8826086956521735,152.4,-2.36526268115942
Week61 (2011-07-24),0.8938775510204082,-2.906122448979592,290.6,-1.006122448979592
Week62 (2011-07-31),2.426530612244898,-2.4833333333333334,74.4,-0.028401360544217713
Week63 (2011-08-07),5.316326530612245,1.863265306122449,182.6,3.589795918367347
Week64 (2011-08-14),2.6530612244897958,-3.1244897959183673,265.8,-0.23571428571428577
Week65 (2011-08-21),4.5836734693877546,-1.3510204081632653,224.6,1.6163265306122447
Week66 (2011-08-28),7.161224489795918,-0.22653061224489798,6.0,3.4673469387755103
Week67 (2011-09-04),6.1,-1.063265306122449,27.0,2.518367346938775
Week68 (2011-09-11),1.8571428571428572,-2.1755555555555555,302.40000000000003,-0.15920634920634913
Week69 (2011-09-18),6.93265306122449,-1.0319148936170213,41.400000000000006,2.950369083803734
Week70 (2011-09-25),6.914285714285715,-0.3244897959183673,172.0,3.2948979591836736
Week71 (2011-10-02),4.495833333333334,-0.5851063829787234,724.8,1.955363475177305
Week72 (2011-10-09),6.6866666666666665,0.3477272727272727,79.4,3.5171969696969696
Week73 (2011-10-16),7.914285714285715,0.12040816326530608,101.6,4.0173469387755105
Week74 (2011-10-23),13.574418604651164,3.8651162790697677,39.6,8.719767441860466
Week75 (2011-10-30),10.678571428571429,3.9523809523809526,439.4,7.315476190476191
Week76 (2011-11-06),13.023809523809524,3.0095238095238095,107.4,8.016666666666666
Week77 (2011-11-13),13.666666666666666,6.578571428571429,659.4,10.122619047619047
Week78 (2011-11-20),14.216666666666667,7.697619047619048,339.2,10.957142857142857
Week79 (2011-11-27),11.42608695652174,3.5478260869565217,838.2,7.486956521739131
Week80 (2011-12-04),12.06734693877551,3.5183673469387755,242.79999999999998,7.792857142857143
Week81 (2011-12-11),13.583673469387756,4.122448979591836,128.6,8.853061224489796
Week82 (2011-12-18),13.46326530612245,4.1387755102040815,128.6,8.801020408163266
Week83 (2011-12-25),15.868085106382978,7.677777777777778,337.4,11.772931442080377
Week84 (2012-01-01),16.64081632653061,6.591836734693878,163.0,11.616326530612245
Week85 (2012-01-08),17.651020408163266,9.144897959183673,115.2,13.39795918367347
Week86 (2012-01-15),10.70204081632653,1.6897959183673468,315.8,6.1959183673469385
Week87 (2012-01-22),18.751020408163264,9.228571428571428,37.4,13.989795918367346
Week88 (2012-01-29),20.351020408163265,9.312244897959184,68.2,14.831632653061224
Week89 (2012-02-05),14.254761904761907,7.076744186046512,517.0,10.665753045404209
Week90 (2012-02-12),13.714893617021277,4.684782608695652,146.4,9.199838112858465
Week91 (2012-02-19),16.567346938775508,8.287755102040817,165.2,12.427551020408163
Week92 (2012-02-26),17.285714285714285,8.963265306122448,71.8,13.124489795918366
Week93 (2012-03-04),12.475510204081631,8.06326530612245,2047.2,10.269387755102041
Week94 (2012-03-11),11.451020408163266,3.8591836734693876,235.8,7.6551020408163275
Week95 (2012-03-18),14.428571428571429,7.547916666666667,366.4,10.988244047619048
Week96 (2012-03-25),10.002040816326529,2.5714285714285716,122.4,6.28673469387755
Week97 (2012-04-01),12.346938775510203,5.304081632653061,91.8,8.825510204081631
Week98 (2012-04-08),13.977551020408162,6.20204081632653,25.0,10.089795918367347
Week99 (2012-04-15),9.244897959183673,1.0714285714285714,79.39999999999999,5.158163265306122
Week100 (2012-04-22),11.544897959183674,6.06938775510204,217.8,8.807142857142857
Week101 (2012-04-29),5.959183673469388,0.6183673469387755,338.8,3.288775510204082
Week102 (2012-05-06),5.585714285714285,-0.32653061224489793,235.6,2.6295918367346935
Week103 (2012-05-13),5.412244897959184,0.6489795918367347,73.39999999999999,3.0306122448979593
Week104 (2012-05-20),5.240816326530613,-1.7874999999999999,77.8,1.7266581632653066
Week105 (2012-05-27),2.973469387755102,-1.314285714285714,261.2,0.8295918367346939
Week106 (2012-06-03),7.053061224489796,-0.5265306122448979,53.599999999999994,3.2632653061224492
Week107 (2012-06-10),2.13265306122449,-2.746938775510204,507.0,-0.30714285714285716
Week108 (2012-06-17),3.317777777777778,-1.2913043478260868,91.6,1.0132367149758457
Week109 (2012-06-24),0.6,-3.3238095238095235,387.0,-1.3619047619047617
Week110 (2012-07-01),0.4295454545454545,-2.8068181818181817,177.4,-1.1886363636363635
Week111 (2012-07-08),0.5380952380952381,-5.173809523809524,121.6,-2.317857142857143
Week112 (2012-07-15),2.0395833333333333,-1.5125,434.8,0.2635416666666667
Week113 (2012-07-22),1.8918367346938776,-3.4142857142857146,95.6,-0.7612244897959185
Week114 (2012-07-29),1.5877551020408163,-2.704081632653061,147.2,-0.5581632653061224
Week115 (2012-08-05),0.06326530612244897,-4.4346938775510205,87.2,-2.185714285714286
Week116 (2012-08-12),0.008163265306122457,-4.159183673469387,294.0,-2.0755102040816324
Week117 (2012-08-19),0.4163265306122449,-3.216326530612245,314.0,-1.4
Week118 (2012-08-26),1.4510204081632652,-3.7489795918367346,319.4,-1.1489795918367347
Week119 (2012-09-02),1.5755102040816327,-4.297959183673469,224.2,-1.361224489795918
Week120 (2012-09-09),3.9530612244897956,-0.6836734693877551,394.4,1.6346938775510202
Week121 (2012-09-16),5.826530612244898,-1.6591836734693877,140.20000000000002,2.0836734693877554
Week122 (2012-09-23),6.704081632653061,0.9224489795918368,73.80000000000001,3.813265306122449
Week123 (2012-09-30),5.904081632653061,-0.842857142857143,280.8,2.5306122448979593
Week124 (2012-10-07),9.748979591836735,1.4591836734693877,226.0,5.604081632653061
Week125 (2012-10-14),4.0081632653061225,-2.7693877551020405,212.4,0.619387755102041
Week126 (2012-10-21),11.122448979591837,2.9224489795918367,168.6,7.022448979591837
Week127 (2012-10-28),10.73469387755102,-0.31632653061224486,63.2,5.209183673469388
Week128 (2012-11-04),13.359183673469389,4.057142857142857,105.6,8.708163265306123
Week129 (2012-11-11),12.43913043478261,4.891304347826087,478.40000000000003,8.665217391304349
Week130 (2012-11-18),11.2,2.3833333333333337,5.6,6.791666666666666
Week131 (2012-11-25),16.334693877551018,4.8125,22.4,10.573596938775509
Week132 (2012-12-02),18.124489795918368,10.863265306122448,167.0,14.493877551020407
Week133 (2012-12-09),12.03265306122449,2.8020408163265307,98.4,7.417346938775511
Week134 (2012-12-16),15.206249999999999,7.197916666666667,540.2,11.202083333333333
Week135 (2012-12-23),16.820408163265306,6.041666666666667,91.6,11.431037414965987
Week136 (2012-12-30),15.19795918367347,5.391666666666667,78.0,10.294812925170069
Week137 (2013-01-06),22.83125,11.802173913043477,3.4,17.31671195652174
Week138 (2013-01-13),19.124489795918368,9.638775510204082,34.599999999999994,14.381632653061224
Week139 (2013-01-20),20.514285714285716,7.546938775510204,64.6,14.03061224489796
Week140 (2013-01-27),20.430612244897958,9.871428571428572,52.2,15.151020408163266
